trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 0.95}",25,0,-115.20334344294136,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
2,False,"{'a': 0.2, 'e': 0.9025}",25,0,-64.69088206793322,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
3,False,"{'a': 0.2, 'e': 0.8573749999999999}",20,0,-130.1814663489696,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
4,False,"{'a': 0.2, 'e': 0.8145062499999999}",25,0,-154.6977873423042,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
5,False,"{'a': 0.2, 'e': 0.7737809374999999}",25,10,-62.12920593403748,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 1}",1
6,False,"{'a': 0.2, 'e': 0.7350918906249998}",30,0,-92.2037650150089,"{0: 21, 1: 1, 2: 6, 3: 1, 4: 1}",0
7,False,"{'a': 0.2, 'e': 0.6983372960937497}",30,0,-80.04979783486851,"{0: 19, 1: 4, 2: 6, 3: 1, 4: 0}",0
8,False,"{'a': 0.2, 'e': 0.6634204312890623}",30,13,-48.883202018439086,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 1}",1
9,False,"{'a': 0.2, 'e': 0.6302494097246091}",25,11,2.4723685339444197,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.2, 'e': 0.5987369392383786}",20,0,-71.42191359537988,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.2, 'e': 0.5688000922764596}",30,0,-73.20213533945878,"{0: 22, 1: 3, 2: 3, 3: 1, 4: 1}",0
12,False,"{'a': 0.2, 'e': 0.5403600876626365}",25,0,-49.72911226010543,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
13,False,"{'a': 0.2, 'e': 0.5133420832795047}",25,16,14.554009689000903,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.2, 'e': 0.48767497911552943}",30,0,-21.285969197811987,"{0: 25, 1: 1, 2: 3, 3: 1, 4: 0}",0
15,False,"{'a': 0.2, 'e': 0.46329123015975293}",25,0,-45.93967408629925,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
16,False,"{'a': 0.2, 'e': 0.44012666865176525}",25,12,12.947562639479898,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.2, 'e': 0.41812033521917696}",25,0,21.853691444615514,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
18,False,"{'a': 0.2, 'e': 0.3972143184582181}",25,0,-36.665870870130725,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
19,False,"{'a': 0.2, 'e': 0.37735360253530714}",20,12,-78.56743259655455,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 2}",1
20,False,"{'a': 0.2, 'e': 0.35848592240854177}",20,8,19.478735147201732,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.2, 'e': 0.34056162628811465}",25,3,6.942322427992234,"{0: 19, 1: 2, 2: 1, 3: 0, 4: 0}",1
22,False,"{'a': 0.2, 'e': 0.3235335449737089}",30,9,13.81224903805441,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 0}",1
23,False,"{'a': 0.2, 'e': 0.30735686772502346}",20,9,-34.38137887083253,"{0: 7, 1: 1, 2: 2, 3: 1, 4: 0}",1
24,False,"{'a': 0.2, 'e': 0.2919890243387723}",20,15,9.19058616173558,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.2, 'e': 0.27738957312183365}",20,0,26.324107244111993,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
26,False,"{'a': 0.2, 'e': 0.263520094465742}",25,12,-18.063518346228584,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 0}",1
27,False,"{'a': 0.2, 'e': 0.25034408974245487}",30,11,14.393928467015352,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
28,False,"{'a': 0.2, 'e': 0.2378268852553321}",30,12,20.643929989987754,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
29,False,"{'a': 0.2, 'e': 0.2259355409925655}",25,15,-25.181088012492076,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
30,False,"{'a': 0.2, 'e': 0.2146387639429372}",25,8,-27.00121377427909,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
31,False,"{'a': 0.2, 'e': 0.20390682574579033}",30,24,11.040204075242569,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.2, 'e': 0.1937114844585008}",25,15,-19.204631543651875,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 0}",1
33,False,"{'a': 0.2, 'e': 0.18402591023557577}",25,3,1.4079435852751492,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 0}",1
34,False,"{'a': 0.2, 'e': 0.17482461472379698}",30,0,6.254767443171806,"{0: 27, 1: 0, 2: 2, 3: 1, 4: 0}",0
35,False,"{'a': 0.2, 'e': 0.16608338398760714}",20,9,17.8302403165521,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.2, 'e': 0.15777921478822676}",20,0,28.832758124562403,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
37,False,"{'a': 0.2, 'e': 0.14989025404881542}",25,8,28.818647923088488,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.2, 'e': 0.14239574134637464}",35,18,-10.808835355181044,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
39,False,"{'a': 0.2, 'e': 0.1352759542790559}",20,3,31.199450049801673,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.2, 'e': 0.1285121565651031}",20,9,20.682999577541164,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.2, 'e': 0.12208654873684793}",20,14,9.895126808178558,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.2, 'e': 0.11598222130000553}",20,10,11.225392931304304,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.2, 'e': 0.11018311023500525}",20,6,26.54617790312285,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.2, 'e': 0.10467395472325498}",30,20,19.82613059446776,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.2, 'e': 0.09944025698709223}",20,13,13.664178993340158,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.2, 'e': 0.09446824413773762}",20,8,-1.6346415847080698,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
47,False,"{'a': 0.2, 'e': 0.08974483193085074}",30,16,13.981139770823884,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
48,False,"{'a': 0.2, 'e': 0.0852575903343082}",30,11,30.666873737768174,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.2, 'e': 0.08099471081759278}",20,9,21.13813912811227,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.2, 'e': 0.07694497527671314}",20,0,36.77231945129951,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
51,False,"{'a': 0.2, 'e': 0.07309772651287748}",35,16,34.50470325309569,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.2, 'e': 0.0694428401872336}",20,9,20.826204749992844,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.2, 'e': 0.0659706981778719}",20,10,15.845889936713453,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.2, 'e': 0.0626721632689783}",25,8,14.437398746209675,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
