trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-75.0567415981186,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-23.27276173752924,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-54.495516752842214,"{0: 12, 1: 5, 2: 2, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-108.68687179467169,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-144.12335740000051,"{0: 18, 1: 1, 2: 8, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-253.66505860879292,"{0: 14, 1: 4, 2: 7, 3: 1, 4: 4}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-175.6947323320901,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,1,-102.0849523157632,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-149.3528792318564,"{0: 10, 1: 6, 2: 7, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-110.00693722293593,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-183.34673927574477,"{0: 18, 1: 2, 2: 7, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-113.42490025411169,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-78.80335000560328,"{0: 16, 1: 0, 2: 9, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-72.61439547220861,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-194.9985328333468,"{0: 19, 1: 2, 2: 4, 3: 2, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-28.904183693525365,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-72.69711166000624,"{0: 17, 1: 5, 2: 1, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-170.02533898914274,"{0: 10, 1: 5, 2: 8, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-106.50951153253287,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-125.0239490294407,"{0: 8, 1: 5, 2: 5, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-123.71639898828356,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-89.36383759048564,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-113.05412921465599,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-70.73147476400727,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,6,-171.1775563889854,"{0: 8, 1: 1, 2: 6, 3: 2, 4: 2}",1
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-114.83242983545385,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-146.90916861598174,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-109.1120830690285,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",35,0,-72.02668339385787,"{0: 23, 1: 5, 2: 7, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-81.58321658189101,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
